,t_m_prev,t_out,internal_gains,solar_gains,has_heating_demand,has_cooling_demand,t_air_free,t_air_test,delta_t_air,energy_demand_unrestricted,energy_demand,t_air_final,t_m_final,h_ve_adj,ach_vent,ach_infl,heating_setpoint,cooling_setpoint
2023-02-08 20:00:00,20.52130311186691,6.3,116707.219,0.0,False,False,17.608005637839522,,,120800.72833908616,0.0,17.608005637839522,20.462839279647916,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-08 21:00:00,20.404375447428926,4.5,116707.219,0.0,False,False,16.995960815300826,,,120800.72833908616,0.0,16.995960815300826,20.325171915648195,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-08 22:00:00,20.245968383867464,3.5,116707.219,0.0,False,False,16.589978472790975,,,120800.72833908616,0.0,16.589978472790975,20.156394302772707,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-08 23:00:00,20.06682022167795,7.1,116707.219,0.0,False,False,17.52255977021497,,,120800.72833908616,0.0,17.52255977021497,20.023814785214228,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 00:00:00,19.980809348750505,6.9,116707.219,0.0,False,False,17.40301618959692,,,120800.72833908616,0.0,17.40301618959692,19.936399278511487,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 01:00:00,19.891989208272474,7.1,116707.219,0.0,False,False,17.399159603051924,,,120800.72833908616,0.0,17.399159603051924,19.8511381311999,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 02:00:00,19.810287054127325,7.2,116707.219,0.0,False,False,17.370909610338146,,,120800.72833908616,0.0,17.370909610338146,19.771675006243854,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 03:00:00,19.73306295836038,6.3,116707.219,0.0,False,False,17.051645728847085,,,120800.72833908616,0.0,17.051645728847085,19.684312234497344,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 04:00:00,19.635561510634307,5.8,116707.219,0.0,False,False,16.83573942404458,,,120800.72833908616,0.0,16.83573942404458,19.58185098862605,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 05:00:00,19.528140466617792,5.0,116707.219,0.0,False,False,16.524579231566335,,,120800.72833908616,0.0,16.524579231566335,19.465895623673717,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 06:00:00,19.40365078072964,6.0,116707.219,0.0,False,False,16.730885867278108,,,120800.72833908616,0.0,16.730885867278108,19.355262489136823,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 07:00:00,19.306874197544005,2.7,116707.219,0.0,False,False,15.691802265324203,,,120800.72833908616,0.0,15.691802265324203,19.21901410792435,10961.921666666667,1.2943458721527974,0.5478181606198395,15.0,28.0
2023-02-09 08:00:00,19.131154018304695,3.2,116707.219,2260.598402146846,True,False,15.705355717992358,18.16624335858422,2.4608876405918636,203849.8846971846,203849.8846971846,21.0,19.219972346724703,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-09 09:00:00,19.308790675144714,4.1,116707.219,5310.204090700364,True,False,16.08266936957315,18.543557010165014,2.4608876405918636,189322.87584206788,189322.87584206788,21.000000000000004,19.398329091687003,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-09 10:00:00,19.487867508229296,5.3,116707.219,11782.315615928826,True,False,16.534859863870324,18.995747504462187,2.4608876405918636,171913.0225612939,171913.0225612939,21.0,19.583529975638754,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-09 11:00:00,19.679192443048215,6.2,116707.219,10854.368489214447,True,False,16.93856114489644,19.39944878548831,2.4608876405918707,156370.05967161758,156370.05967161758,20.99999999999999,19.76985319527286,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-09 12:00:00,19.860513947497505,6.9,116707.219,10273.8955076503,True,False,17.27490565641184,19.7357932970037,2.46088764059186,143420.4097538816,143420.4097538816,21.000000000000004,19.946352271706232,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-09 13:00:00,20.032190595914958,7.0,116707.219,15615.299578954686,True,False,17.40303559781081,19.863923238402673,2.4608876405918636,138487.25987841267,138487.25987841267,21.000000000000004,20.11948507774263,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-09 14:00:00,20.206779559570307,6.8,116707.219,9704.694810531446,True,False,17.49228481184669,19.953172452438558,2.460887640591867,135051.06265316092,135051.06265316092,20.999999999999996,20.279640633525645,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-09 15:00:00,20.352501707480982,6.5,116707.219,7186.766435479612,True,False,17.517475014373563,19.978362654965427,2.4608876405918636,134081.21092996764,134081.21092996764,20.999999999999996,20.41608951940001,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
2023-02-09 16:00:00,20.479677331319035,5.9,116707.219,2148.492753535897,True,False,17.451920584447535,19.9128082250394,2.4608876405918636,136605.13175826985,136605.13175826985,21.000000000000004,20.530367456038263,10961.921666666667,1.2943458721527974,0.5478181606198395,21.0,28.0
