"t_set_heating","%SIGMA@wn2*.pc.mu%","infl_rate_m3ph_m2","window_opening_ach","atrium_ach","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%","%SIGMA@wn2*.pc4%"
0.945742283381787,228010.17587544,0.0171021380988549,0.0098524174049954,0.434924600267188,11869.419927128,1125.19994624856,76.1768985470293,9.85675156012109
0.946466600706212,228010.17587544,0.0171021380988549,0.069501367798084,0.404406471822071,10896.929611727,1125.19994624856,52.2233297130019,13.1070971243505
0.942873694570025,228010.17587544,0.0171021380988549,0.44051107098784,0.108330244492995,9261.30110873305,1156.25528014117,77.521610068595,14.5545125030846
0.937899176019785,228010.17587544,0.0171021380988549,0.265687632155444,0.273525230664581,9080.02421481611,1067.0401847475,72.7805925250229,12.7563283770641
0.868087589744417,264674.411401583,0.499930331249941,0.265687632155444,0.189285896650476,9080.02421481611,1113.09529876911,57.638205227613,11.9398184844898
0.977230208966065,220344.898828685,0.213232353857482,0.902622534015068,0.189285896650476,9080.02421481611,1178.09176236806,80.124801044774,12.5519506251492
0.998155949887017,239975.841201649,0.213232353857482,0.283714426256767,0.189285896650476,7879.46587719446,1175.79648925202,80.3541607701275,12.284330989507
0.998155949887017,231527.923434641,0.570238715435165,0.283714426256767,0.228367154781501,7452.00002931768,1121.24209730001,81.5754730211027,14.05143259961
0.841547115710394,219311.807544067,0.0899165907661907,0.957437747279138,0.326507338587828,6194.18225088323,1185.91121272348,73.1340328467839,14.05143259961
0.863396416845712,219311.807544067,0.0899165907661907,0.56896633059363,0.18773610069685,8917.84932668416,1054.74224951501,64.7497264530428,14.05143259961
0.894243935544554,240672.075616897,0.0965452052073231,0.381535668886556,0.523512747696575,8949.39833795042,1003.13432699643,73.7216583949884,13.0713932990492
0.885656476535669,191427.696335968,0.0814671777187824,0.215756295379942,0.326294938062689,9968.36207798802,1143.86505885136,63.0675203782665,12.3836818826401
0.996916889783559,219936.20961151,0.340546609960335,0.432007940741125,0.37979275917054,10183.2797347367,1042.0681647344,67.5250628945577,12.3836818826401
0.931567337406267,211081.419566062,0.179838714526342,0.432007940741125,0.0819999493393246,10025.6813112302,1242.82753273519,76.9878874845212,12.471857131427
0.996639167367428,197119.833441615,0.0411550689716977,0.109429651402091,0.225345932796269,9395.3668782812,1130.61355115493,58.302368366272,14.3895167143787
0.94680770891834,190656.510986521,0.0520852916620749,0.109429651402091,0.348032397288196,10596.0226883429,1117.00013911685,53.9430944299352,17.7968846700673
0.94680770891834,273660.383717839,0.112492779281725,0.41185782252685,0.0925028812958759,7965.19865705845,1200.34788265613,54.221611877187,14.2437248112633
0.960320430185299,254719.53257549,0.0715652243838511,0.310746045738665,0.0249870051464987,10200.5215608756,1090.17775694921,54.7054365764341,14.054650210941
0.960320430185299,254719.53257549,0.262434616458462,0.293399543459224,0.0249870051464987,7897.63646029746,1017.24908125243,68.8993844035028,15.226579787449
0.992479658569736,244049.055592583,0.327589135892245,0.60109446087807,0.113020713939343,9295.78663771443,974.906006460721,70.3445353167393,15.226579787449
0.994330178393871,224109.41269521,0.163772253556293,0.860755284799949,0.0651892303273743,8579.88431338044,988.435738336998,72.2523640043178,11.466645977765
0.983903485758882,220009.292178236,0.289720471763383,0.148740963617938,0.0651892303273743,9847.41975270448,998.853344756557,72.2523640043178,14.4550071311928
0.915078243466854,220009.292178236,0.208790145926189,0.0257635561922169,0.148536385351796,9847.41975270448,1064.89229874457,72.2523640043178,14.0386876977146
0.968742009873694,219983.885421883,0.112971299419512,0.0257635561922169,0.148536385351796,9256.99543454064,1168.0322802735,72.2523640043178,14.0386876977146
0.99194589173261,243928.683063238,0.112971299419512,0.0257635561922169,0.117580512623183,10173.1235017549,953.794520234982,53.6939731093666,14.0386876977146
0.99194589173261,207956.799115938,0.112971299419512,0.0782582371575602,0.117580512623183,8539.85899855178,953.794520234982,61.2702401744327,16.7057028277017
0.940635578985612,248084.866597381,0.372188116450959,0.36443326897966,0.304192911762937,9211.55214743499,1123.01788963443,63.3389219228001,10.8297438813118
0.856386125599631,223525.273449437,0.1859445554613,0.212963850736815,0.189487472799598,9401.83873380384,1193.86025768865,67.2135107917513,12.3900590195321
0.987262869737991,255140.10718416,0.152653594820854,0.212963850736815,0.0872531947705546,8981.68968348591,1056.54253376118,74.5900380116625,13.6419252914176
0.998230490300143,256538.891844687,0.0184628499156886,0.0156091157365964,0.413022751660277,9152.94408331316,1201.65366471891,69.2305545711028,13.2853906147751
0.991976375542127,256538.891844687,0.032245566554999,0.214809969258014,0.413022751660277,9152.94408331316,874.232119461246,69.2305545711028,13.2853906147751
0.981275824426996,285231.533170696,0.198765665973848,0.0902371072590986,0.0180376853172987,7964.06050426857,945.707072448983,60.1953267099053,11.4322632744349
0.981275824426996,254945.810901973,0.0661198121009939,0.443846935726174,0.0180376853172987,9871.63933103973,1305.47757813042,65.9322174943867,15.6266057563012
0.993010737143387,217736.68606048,0.327560366859873,0.225510864877652,0.0180376853172987,8629.20908521626,1226.50862649708,68.2502397151467,16.6387720134685
0.964918588675836,206276.377930839,0.202403024322467,0.169613123610912,0.18283890521931,10333.621063269,1090.06086443409,79.559128997706,13.3360069986589
0.899862785817876,259679.187206298,0.307661024242498,0.0119727342055619,0.357217865998956,10289.8006751536,1004.8082793127,67.5757742545448,14.6302058017527
0.930651199768808,194759.586290243,0.114990865780398,0.501678784244722,0.357217865998956,10436.1383211297,965.021363719769,62.4314238089305,11.7968107956584
0.994815889431199,255537.328024395,0.119041679562877,0.142413701981176,0.382308272896118,9801.53066380527,1308.51799230427,72.7838012131951,11.6745505214813
0.994815889431199,229387.26881604,0.119041679562877,0.503441816998263,0.0526073062511466,9049.55597801231,1230.92067580597,63.7671911563428,12.7366821724058
0.982376796754599,231092.404791088,0.119041679562877,0.162851962348915,0.146777561761021,9049.55597801231,1230.92067580597,63.210263823684,13.6266841681042
0.982376796754599,231092.404791088,0.119041679562877,0.162851962348915,0.367687452676724,9176.20268122327,1317.83216654548,69.3071964785446,14.1709899085116
0.982376796754599,231092.404791088,0.119041679562877,0.0607725143564787,0.611958930874797,9865.22915420026,1341.93787262171,56.1795229142848,13.3820517016314
0.935591097418503,225003.033015764,0.114916566333418,0.21560068829722,0.706219902771372,7599.36414060709,1338.53763334545,74.8924964950976,16.2200210810283
0.950144976497093,252685.681057597,0.0822917460654032,0.0843938304959387,0.759974318083677,8463.67313508232,1439.94807692892,65.2922401981091,11.0495930879794
0.967623296657175,252685.681057597,0.060931536014271,0.231148285010042,0.580108807974195,8006.53370561206,1032.78458161946,59.412556016066,12.7672914660235
0.993181687416501,262175.632282522,0.204780756483993,0.119034040844568,0.166247216239792,11031.1367816755,1252.63492293353,59.2111575723455,14.6085731020054
0.928384565118311,233415.461737776,0.398616836833034,0.205405126073817,0.22241217176411,12227.3185623987,1254.22927387752,75.3135252337252,12.3834389511382
0.995146820131143,277038.840203136,0.176032235821692,0.205405126073817,0.0705658975194221,10613.2406572309,1058.97583827258,60.8565767780989,13.8520221398032
0.995146820131143,283033.684080343,0.0883132547891562,0.329831302998023,0.116107390858683,9137.75920626313,1102.75425182365,60.8565767780989,11.5485007485202
0.995146820131143,271271.376236176,0.526607321924294,0.238448204524779,0.116107390858683,8007.9640778236,1296.06613729137,65.454466782798,13.5115433640453
0.962824093644443,222060.775971144,0.482051851710993,0.238448204524779,0.235317715271689,6762.92129091349,1303.3023803305,65.454466782798,11.5798792218073
0.95254406936284,229155.612029135,0.358114148130811,0.314733757416609,0.0855841172926173,8183.84831097753,859.970967580225,62.5764767807712,16.4206773449921
0.95328332495991,224120.497707174,0.125525432795837,0.30916131659546,0.232319578609369,8529.85686182764,1252.65048119075,71.9463274248969,14.1139423174946
0.976416340474258,235586.823411549,0.279219681608493,0.152945391944999,0.0067233361986315,8034.17062463393,1213.69162978525,70.6157871704208,13.6661673970369
0.976416340474258,229093.590538205,0.0964335865395753,0.152945391944999,0.183320909464897,8034.17062463393,1160.14052836798,60.1899204928288,15.3433931077656
0.976416340474258,231928.95423367,0.0370916165929596,0.101187786762206,0.0888313248949904,9187.42915592352,1160.14052836798,63.9050020674175,16.2636784851761
0.893126002934062,223945.644381149,0.0370916165929596,0.164109092861328,0.428361995412781,7316.10484575841,1160.14052836798,66.0324084437869,16.2636784851761
0.987282564995,195556.448274407,0.0370916165929596,0.346265914686963,0.0340070746809707,9410.15662999601,1188.00884444799,66.0324084437869,11.4309626799459
0.988482289930234,275444.926869283,0.0770848026503871,0.601734007400501,0.181539707319526,7495.24371087796,1027.18754393238,56.9148983345846,12.8890476703175
0.988482289930234,261614.111501648,0.0770848026503871,0.291646112540676,0.293362073203194,8173.93245831137,1041.47611808011,57.0475080990205,12.8890476703175
0.988482289930234,191262.138932214,0.258575808721781,0.342183097954785,0.16175745514805,8173.93245831137,1219.60588093938,48.5433299023702,12.0362672049809
0.988482289930234,239056.706053439,0.258575808721781,0.970986438570996,0.0406480681411833,8179.99308398493,1167.68868978557,69.9930439407718,11.2758753967863
0.951049947323861,298192.186988462,0.224589782757321,0.901085569877678,0.135946815222255,7762.8796373577,1082.24725171176,59.7833898764144,13.6440118578948
