"t_set_heating","infl_rate_m3ph_m2","window_opening_ach","%SIGMA@wn2*.pc.mu%","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%"
0.467259230580788,0.941794024057367,0.569343721547343,181336.886581719,56147.5524560158,2242.4350255479,137.258383107819
0.580651703518312,0.665983333448728,0.569343721547343,193073.399863175,53210.8292949875,2338.65548641873,154.789057789663
0.54981140765354,0.776277548250999,0.691805904467789,246494.325414486,62051.5241701834,2338.65548641873,154.789057789663
0.54981140765354,0.452420789289867,0.741164710129355,246494.325414486,48524.7197709251,2496.6389106097,219.999300010075
0.568579696264098,0.46324113102251,0.71647883887139,213227.726707243,48524.7197709251,2602.63902971969,158.423228262385
0.48389437655356,0.657948567311709,0.67750242576449,211632.865003531,53490.7758064749,2602.63902971969,193.895810605682
0.441763323124544,0.657948567311709,0.67750242576449,282807.004784231,60595.2928850417,1847.85522074741,205.592608312521
0.441763323124544,0.824849756148139,0.645053385372863,286958.18682007,62560.2842026939,2475.15929198967,145.022373416033
0.522161111854204,0.975578263543612,0.924932795027161,214450.980193359,70363.936223597,2524.07499977778,147.151603508421
0.534077413339917,0.420809788801415,0.956135672072641,335625.705243387,56922.3941966072,2524.07499977778,141.389049464304
0.525219127812401,0.49773523186298,0.956135672072641,211063.8545721,61019.0200815438,2133.19763477573,142.693332699574
0.525219127812401,0.736182639737447,0.799390697005744,211063.8545721,56465.2007814496,2189.03434788887,177.787728498504
0.506144545125706,0.663896643672917,0.669048273306118,211063.8545721,60443.690753253,2189.03434788887,169.223131004506
0.411658345437256,0.662465609602322,0.669048273306118,252225.238056933,55530.0787461836,2318.48137962197,146.876163344001
0.399529246916677,0.852063546308498,0.82123363623593,219434.349315274,61726.3706549124,3022.24575891502,146.876163344001
0.454591082546372,0.749834332506172,0.974126112954818,227038.935445644,69194.103016439,1920.01985063745,175.643660835114
0.458070106650864,0.768010288758382,0.842898179963241,241365.269241458,64596.6197878524,2401.73817261708,176.060186611246
0.470833456057654,0.86134863646994,0.547067205824368,243360.519327466,62812.7518616869,2287.04783569451,164.522064695739
0.451000744928413,0.990367441929179,0.592362804580321,211996.737123857,83716.4656342542,2623.32231735228,156.15303808192
0.444131090664067,0.83791492248916,0.671941719720332,211996.737123857,41439.1054655776,2005.90493355403,125.151891153838
0.463952619822012,0.779334098583779,0.99809553021902,269516.941577757,77605.8420370791,2644.8091919922,178.021348652666
0.56353053493556,0.891688882176901,0.99809553021902,261151.475495682,52754.4675462188,2578.80160815071,162.256096777162
0.549595064042541,0.745410273001656,0.973515198601215,188383.953402827,41687.0343337818,2622.54158297578,186.689904935828
0.473149443946632,0.752539942872803,0.947356460592465,233702.204029071,73061.1925060005,2305.06145467304,152.189608919408
0.459221171807927,0.868552100738688,0.704247852182027,230685.648404556,64663.0735395788,2121.17341570195,166.405238141388
0.497231879291359,0.868552100738688,0.433465258863431,287041.488762084,55692.7539869778,2381.03196728615,154.408627072327
0.38138411784049,0.96486801004246,0.892502417531261,171071.968454563,55692.7539869778,2381.03196728615,154.408627072327
0.459752312504282,0.696835852714084,0.712295124916643,269857.127686799,52990.9537887771,2868.00429584788,133.209481722421
0.459752312504282,0.805785703441555,0.712295124916643,228560.445650831,53849.2752317016,2033.49345400226,227.025108158378
0.495841004870625,0.875810247642191,0.689533991510775,259171.868014667,58935.7000101996,2021.76993491332,188.335825819928
0.534935671570696,0.875810247642191,0.526032013883797,259171.868014667,55357.2846058887,2613.60758071249,183.939133765169
0.579433435281856,0.875810247642191,0.662396996463981,271475.647814922,58558.638993017,1915.69422995623,207.71252142085
0.516711589710251,0.359076830071819,0.964105363225717,307536.530624988,66567.7786681795,2396.3551472697,163.222411223224
0.453252761368416,0.683453662579392,0.964105363225717,182575.625944411,65259.7710131822,1894.82807683043,163.222411223224
0.420491920126254,0.452107986755267,0.964105363225717,201205.165182885,69323.2941985973,2495.85264336613,184.065654027798
0.376834582126886,0.895305343465867,0.770484357785643,201205.165182885,91024.2022594407,2427.32529804573,186.160849898989
0.411945270419895,0.762900028015715,0.769378203555878,191917.136416536,59703.1044397781,1953.43956512843,198.932687328661
0.573598001852867,0.361337853268591,0.769378203555878,264902.438619427,54138.6741330537,2793.22943491664,139.564091646509
0.500633625959787,0.350419722109098,0.769378203555878,242570.664884096,46851.847333475,2006.09773765781,204.840844499667
0.476524842655449,0.243147153619081,0.829326961372739,201687.642882351,46851.847333475,2149.21392381483,190.824605981453
0.444302516291012,0.435717262740593,0.693033530835637,240722.222609191,54771.1214689342,1768.37661788252,192.798794481824
0.424237233150175,0.279739117862618,0.917652503382963,209579.399150676,54771.1214689342,1768.37661788252,128.895963958765
0.534290593859419,0.548854922179343,0.806714427674259,202062.834491414,51141.6359534644,2101.03778644835,155.898630478721
0.454310277603355,0.581275900055024,0.916056977039724,321072.378646303,62532.5437769451,2103.74169332389,184.087383349704
0.555727840883869,0.518520513134009,0.58075790118162,289463.094603918,62532.5437769451,2288.98051613103,179.436231585935
0.534696837186261,0.495279730333659,0.971354517530109,254401.553316853,61125.3552491016,2893.01397433393,178.924233776513
0.534696837186261,0.694525748283295,0.733933619850013,216197.835276051,68039.3211930452,2231.84100082543,178.924233776513
0.511191014445747,0.765272044557872,0.782205984868832,216197.835276051,54593.083471823,2556.03537827824,162.127072988953
0.49657085562846,0.965712029587056,0.782205984868832,258626.363782722,65090.4019467415,2628.16132132824,142.605037171918
0.480687492502552,0.980336837216982,0.841419190842848,270438.226299405,62635.0022054518,2316.76062698558,198.825130263605
0.476213070182298,0.326294984612219,0.832097160423928,306895.815824101,56715.525591526,1726.94999752513,152.809995007847
0.585382544192488,0.254117514688843,0.889277458661094,306393.142659478,58340.499574641,2450.72181755532,152.809995007847
0.585382544192488,0.483719827879575,0.818769318012759,316589.071164995,53705.861486581,2450.72181755532,147.862440193404
0.585382544192488,0.328909299604814,0.911180131701366,188114.275838414,62415.6897213003,2450.72181755532,137.215101521451
0.466742714801628,0.709553535455717,0.86352491214669,244671.942354132,75028.2859946866,1894.19036839928,160.937422592082
0.469342506621376,0.595664968862527,0.508295552730677,198874.389427443,50365.6607768412,3061.42746515875,212.206929362502
0.571748153156855,0.774391861552058,0.629473081138587,322728.220977938,51252.6014829582,3243.33526376411,134.232857319145
0.44364860962572,0.526646970320819,0.802694989057156,318808.952227521,55321.9433767989,2173.52477485775,152.393104967398
0.44364860962572,0.949466089151144,0.963878747550377,186521.645768775,50506.3349583808,2301.85522635967,160.982282128426
0.574944513865029,0.598238659762414,0.774033693885623,186521.645768775,53447.1794487313,2196.24259206515,224.360265039234
0.590601283303461,0.51716937723629,0.53095685306648,252382.523792168,36113.4862661324,2272.76831204825,143.739895503927
0.593432529957805,0.688941766275171,0.687103624050886,203404.46915047,47826.1277000855,2272.76831204825,151.610805517243
0.483474267814912,0.859314207055495,0.814243963014674,255996.93041313,71905.8689594291,3060.15969403222,216.49709789868
0.483474267814912,0.878237266651774,0.722225711490055,255996.93041313,53256.410431078,2907.13823122053,147.026330937594
0.409933583117956,0.813839620648091,0.618821714985305,255996.93041313,64969.9220391913,1944.47140025551,197.291552242144
0.455540020448524,0.920643635892585,0.798002747915772,263656.078931813,56111.3382567874,2255.07935170063,153.607405920409
0.517934513426347,0.182998284906461,0.746413158622369,263656.078931813,59331.9776604439,2151.59717344992,150.770519866278
0.435734193966619,0.378452620832974,0.988857213167171,206775.270436951,54875.9586697397,2340.02149917472,150.770519866278
0.435734193966619,0.771050426379585,0.961817699197125,211973.418236239,63906.521297985,2340.02149917472,182.289888198284
0.588279896742906,0.520757384566877,0.98029903917579,204256.49129665,50251.6748040867,2958.31689065259,178.395470877375
0.544473815770796,0.391238324943207,0.764283104815622,204256.49129665,54657.6064344624,2311.70411342183,149.536895635785
0.463560280274735,0.836620470314419,0.7100763554461,197612.716940513,55522.8813672954,2311.70411342183,151.159712880842
0.570947591068859,0.224437079717999,0.928446471893676,234630.57830875,60040.9104853617,1930.63306154092,151.159712880842
0.438756133116522,0.933944217188241,0.928446471893676,208749.783711957,67533.6632839665,2608.02406554952,172.930067521316
0.438756133116522,0.881518632362269,0.731995200750743,266566.858174971,62769.3276595107,2838.19322988436,165.664335088353
0.455717983996127,0.881518632362269,0.267886045679604,266566.858174971,67532.2189015332,2378.86826244957,185.640740344712
0.493515547819712,0.974647076864469,0.542112871971676,266566.858174971,69254.8818457759,2073.75991955327,185.640740344712
0.38013326874757,0.83952486370983,0.723562359575816,264144.950179965,57484.6400665301,2851.37199257821,152.131459013522
0.383052069046317,0.706728782314912,0.723562359575816,222357.760441613,79911.0312602818,2104.47836615246,182.689189569864
0.407846543543339,0.69877718614161,0.893255098888404,198143.677041728,56841.2366291514,2277.97688869189,146.230824540651
0.407846543543339,0.672815438754422,0.893255098888404,223151.665197559,56841.2366291514,2528.1826296477,105.849558410715
0.528657892396823,0.868784639206,0.707271262613363,223151.665197559,48019.0319539061,2368.32982454605,123.762148652106
0.497168671876515,0.629580816360524,0.651026960437037,242737.353432029,45479.3301969608,2888.58923765246,123.762148652106
