Y,M,W,D
0.3242633039025658,0.32156417088346784,0.2984865587063187,0.3004399806500656
0.3194737344386051,0.31686694872523347,0.2941097878417912,0.2903780147888783
0.31853651312866715,0.3127993672878609,0.29153440372255873,0.2928290064730137
0.32397546814445755,0.3101794476054456,0.2888023772776485,0.2892446614913271
0.35513421548850355,0.3219644790490889,0.29484692819792213,0.2967634931238626
0.3840044052911759,0.3282885290210622,0.28400635783557154,0.2904425145700398
0.4006777303536189,0.34901138728279313,0.33160719633272673,0.3178457073092073
0.4142415516804497,0.36205365255605976,0.3266775702011011,0.3354910045840916
0.4248515462944985,0.37091162250223314,0.33670267904448176,0.3389187072401003
0.4369276604240092,0.39272278659530735,0.37049595724585926,0.3622307710027412
0.43948422113771907,0.4046204367044707,0.39341180806707976,0.3933749510492732
0.4341119597731977,0.409317658862705,0.39100688765520253,0.4025523484831033
0.41992955483084704,0.3993877639819912,0.37428301582548196,0.3853493354218976
0.39587455889499146,0.384788289706398,0.3513717721314874,0.3326069429407293
0.38107023565455755,0.3764719131607708,0.3353620050217686,0.3287369560710418
0.3659477134937272,0.36160829692423063,0.3208034829881826,0.3171730667342378
0.3496223362303388,0.34172905484784954,0.3109442307249314,0.3077653129391167
0.33552917792396264,0.32103486315552376,0.30738752850659967,0.3040611826495588
0.34735740498243084,0.3345699979686757,0.321114924788648,0.2966989933427011
0.3350616557660855,0.3245989181627614,0.3205546981179885,0.3143258621086821
0.32862982264332147,0.31633833904686914,0.3115873856856557,0.2967266361060561
0.3246305881352298,0.3120361198774504,0.30804542627444653,0.2903964432977816
0.33446241027176726,0.32591697537909325,0.3248614406486835,0.2984404874340604
0.33843272619665693,0.33719522282789655,0.33189375964617257,0.2975374904978
0.3896944943057679,0.38543352020120575,0.396824767915966,0.3816544193867913
0.4216536042796668,0.4162145748563937,0.41830872359540205,0.3777660040082007
0.4606083534304492,0.44360143323539697,0.458274630853931,0.4331344590080855
0.5591012203571233,0.5070415751349155,0.5455538918707241,0.5509294879178088
0.6502511415929674,0.6000268051038593,0.6173974338301351,0.6192255419133399
0.6922826543431919,0.6345011004751623,0.673001773743982,0.6911612264172674
