"t_set_heating","infl_rate_m3ph_m2","window_opening_ach","%SIGMA@wn2*.pc.mu%","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%","atrium_ach","%SIGMA@wn2*.pc4%"
0.710430203413191,0.879654562127981,0.247750519005283,194370.044911212,18102.2546835087,3040.31838507777,26.1068988900438,0.50738386734385,11.2420839992064
0.700719627230515,0.997865550499099,0.144107914803564,195636.288798136,23138.6198428606,2957.53575019249,25.9831469614029,0.654327691618704,11.6097247832015
0.648884347833291,0.330138260997664,0.659558173427157,222408.555353086,23282.3632267759,3310.65162829414,27.407795872403,0.943189052896915,10.842214675191
0.613821843283617,0.44869921052856,0.854404736647532,217567.750802137,22571.990576207,3310.65162829414,19.3436797666094,0.870719697397582,13.1548608607751
0.622912659926341,0.488288338068647,0.196590386440908,175214.391029309,23573.5659648928,3131.32287263622,22.8201810478904,0.978914971182979,10.9325847768483
0.619517730290259,0.640408361888543,0.21580419757098,175214.391029309,22703.9042639067,3176.91901187427,27.619557764171,0.0735663453169493,12.0809908923393
0.622294966318839,0.634284926170768,0.405927656147555,198424.925494355,18502.2825067182,3291.88123440117,25.9841148838897,0.0735663453169493,12.5989496884276
0.622294966318839,0.573524431385481,0.277859470175177,241381.823951104,19162.0129027913,2931.4201495708,25.9841148838897,0.72819697885639,12.122221225162
0.673405238440312,0.783768237916858,0.44422876744647,182830.679297081,19162.0129027913,3018.93842844818,25.9051284249388,0.156590699633574,11.1103710591308
0.749549861357895,0.468275639095996,0.50083455084374,191939.815637557,19613.5732235709,3018.93842844818,26.2654766655154,0.930745041655012,9.85505838993161
0.704704458652991,0.88982906835882,0.153463467674757,185214.300008505,22475.0366402615,3018.93842844818,25.8426125066581,0.820631684224379,9.5369378514533
0.671869254306681,0.736635839131246,0.153463467674757,247033.762257949,20206.6317900914,3230.42492207486,24.8052772938515,0.964454381531922,12.007084612518
0.653981886434542,0.736635839131246,0.41379399809374,247033.762257949,15721.8251344496,2916.60904394734,24.8052772938515,0.722908029989583,13.0105972601297
0.69475707613553,0.736635839131246,0.0593492972877844,151123.231803065,15721.8251344496,3214.46655579423,31.4887025312084,0.529413549407935,13.6928818821753
0.737056113335137,0.920854130134405,0.0593492972877844,157930.593517501,17584.0477944063,3214.46655579423,31.4478093813882,0.165596145635646,12.6332257965282
0.744242427609975,0.996582576621961,0.26013868486873,208462.449204768,17584.0477944063,3630.12221663971,30.2939430350905,0.165596145635646,11.882288335622
0.717040844204757,0.719135191334865,0.0852056025383474,218963.449444312,17584.0477944063,2982.21648067554,26.3293640453643,0.790584331628802,13.1675974306783
