"t_set_heating","window_opening_ach","%SIGMA@wn2*.pc.mu%","infl_rate_m3ph_m2","%SIGMA@wn2*.pc1%","%SIGMA@wn2*.pc2%","%SIGMA@wn2*.pc3%"
0.995147440624848,0.197209418995326,305959.042161572,0.754575558698078,7718.28999836814,4019.63235108707,48.385840483579
0.967694372263428,0.0291851459357551,280081.895847039,0.852226107098157,7740.91366842192,2905.13732863922,56.1376206576876
0.9878692502902,0.0291851459357551,280081.895847039,0.924010124461757,7444.40467037375,3433.62987000066,56.1376206576876
0.982986628853595,0.372014129723852,294176.643577245,0.511495837104807,6461.79301806748,2966.40361707481,43.079200217219
0.954063536161442,0.190213943878226,278355.870044776,0.211076381064281,6461.79301806748,2365.07672788828,48.2183850092321
0.948969443045515,0.190213943878226,320062.929184374,0.17107147063061,7378.32309918124,3477.48828908147,47.0982077359496
0.986851775120205,0.04880600675933,320062.929184374,0.855541779524267,5575.51575119094,4178.02535484068,41.1021675818187
0.987345654134056,0.20024341392684,384685.43495625,0.0142961825474695,7927.81635328685,2750.35336072213,45.008941670615
0.978104722198518,0.20024341392684,389218.164433928,0.0492670454694682,5639.30461541224,2604.07984018824,52.9473178813076
0.96820271188396,0.321853435116256,390744.897068815,0.422342728901971,6893.05879900877,3120.90728152115,44.2484092433265
0.96820271188396,0.253884220022935,320257.562244623,0.916603369870768,6258.67005951009,2912.66263049122,42.804262409481
0.961661370478214,0.0671063135890799,352916.035352901,0.867934969607168,5169.13132821288,2299.557665676,42.804262409481
0.980706192851831,0.960964744480255,274917.478893674,0.321493151558522,6090.17654372587,3357.25809195573,55.0731770482071
0.980706192851831,0.945243687067943,323974.823523949,0.174642875897279,6474.84227112205,2968.20649002957,51.8578926105355
0.98493158457856,0.968366955089017,323974.823523949,0.502082543444448,7764.74912166927,2436.58173357579,51.8578926105355
0.980722719997334,0.916250274159141,323974.823523949,0.926898888825463,5654.20792449466,3411.92922409618,62.0668281984121
0.980722719997334,0.887312619159479,236219.965839127,0.999154087396966,7098.52573999207,3536.51242381363,45.4205304752421
0.995085150613959,0.613545559887057,255431.518913519,0.999154087396966,5906.01774435943,3026.03486304169,57.8771644146303
0.995085150613959,0.319022993085312,262316.963440988,0.999154087396966,6267.65263326231,3026.03486304169,57.8771644146303
0.9880392300234,0.281628201682452,306309.570540915,0.833048665125324,6267.65263326231,3340.0018741135,60.1936603808486
0.996297069796281,0.00618579858770583,306309.570540915,0.721302721955735,6267.65263326231,3351.18982628844,54.8891515733286
0.996297069796281,0.0443277726998346,306309.570540915,0.804448636231855,6267.65263326231,3351.18982628844,62.857496952984
0.990407694883362,0.190690902315527,307248.894905024,0.774949179151385,5870.88550802428,3501.28224953131,61.7198971147738
0.990407694883362,0.0541744101830492,342323.31832358,0.581375524863423,5619.87375275413,3501.28224953131,74.4788683303272
0.968302281277049,0.308048879907699,322469.141285885,0.834620134496034,5801.33196003008,3116.42189109347,49.917199319288
0.969561078971991,0.101209652999653,259772.077348475,0.834620134496034,5801.33196003008,3109.00122699119,54.0180563339665
0.967431741698785,0.193436516379177,265128.313078779,0.834620134496034,7112.13441592399,3109.00122699119,55.0732278237463
0.979242688198623,0.358003560345799,352288.146065851,0.877143427549009,7112.13441592399,3109.00122699119,54.8411106602779
0.974857139629659,0.490576333434962,247441.70757884,0.983775216321175,6100.52445945979,3841.51496509723,45.975231217154
0.998800135917596,0.686787131826774,409132.795465029,0.745844509079818,5946.86238166776,3943.81395943572,63.2573935136188
0.995228110207141,0.994020389122744,319338.115495242,0.609541416643554,5946.86238166776,2540.25669118608,69.6794641557849
0.928310798104371,0.994020389122744,319338.115495242,0.462834616396867,5946.86238166776,3506.19137680699,61.142003325428
0.970325532005275,0.994020389122744,250210.671277299,0.600443592892858,5293.73203247821,3074.69437543873,60.260282097217
0.970325532005275,0.939449158233862,346683.852004809,0.788061632639344,5249.60748830778,3231.39778848768,64.5247167842444
0.970325532005275,0.939449158233862,339856.143933368,0.587594674433664,7296.0928234403,2896.75128823698,51.0320496538052
0.975868713035337,0.904035081438277,372441.304672285,0.365623646111973,6231.60202558391,2896.75128823698,61.6870921838036
0.991223132213777,0.836557574253655,248167.760897161,0.602985629152977,6540.41929081054,2827.81837501128,61.6870921838036
0.99746294697797,0.836557574253655,355610.370557218,0.0762814731327142,6538.23035729715,3602.18041258489,57.7607264508449
0.99746294697797,0.590066920786416,248197.950414857,0.683141699627755,6538.23035729715,3817.45198591452,53.7659682097767
0.999351864456213,0.0499114696917297,276061.634149669,0.911220618048615,5603.58176675969,3139.750900288,64.5706004325412
